,match_key,control_idx,treatment_idx,control_text,treatment_text,template,bias_type_index,vals_index,permutation_index,treatment_answer,control_answer,treatment_prob,control_prob,target_position
163,"(2, 1, 7, 1, 1, 2)",163,243,"Below you will find two options for getting a prize.
Option A - 26% to win $4800, 74% to win $0.
Option B - $5000 with a 25% chance, $0 with a 75% chance.
Given that these are the only options, which one would you choose?
Answer:","Below you will find two options for getting a prize.
Option A - $4800 for sure.
Option B - $5000 with a 25% chance, $4800 with a 74% chance, $0 with a 1% chance.
Given that these are the only options, which one would you choose?
Answer:",2,1,7,2,target,better_expected_value,-0.29872649908065796,-0.6289511322975159,Option A (first)
164,"(2, 1, 7, 1, 2, 1)",164,246,"Below you will find two options for getting a prize.
Option A - 25% to win $5000, 75% to win $0.
Option B - $4800 with a 26% chance, $0 with a 74% chance.
Given that these are the only options, which one would you choose?
Answer:","Below you will find two options for getting a prize.
Option A - 25% to win $5000, 74% to win $4800, 1% to win $0.
Option B - $4800 with certainty.
Given that these are the only options, which one would you choose?
Answer:",2,1,7,1,target,better_expected_value,-0.5150957107543945,-0.7613970637321472,Option B (second)
165,"(2, 1, 7, 1, 2, 1)",166,248,"Below you will find two options for getting a prize.
Option A - 25% to win $5000, 75% to win $0.
Option B - 26% to win $4800, 74% to win $0.
Given that these are the only options, which one would you choose?
Answer:","Below you will find two options for getting a prize.
Option A - 25% to win $5000, 74% to win $4800, 1% to win $0.
Option B - $4800 for sure.
Given that these are the only options, which one would you choose?
Answer:",2,1,7,1,target,better_expected_value,-0.380639910697937,-0.3984386920928955,Option B (second)
171,"(2, 2, 1, 1, 1, 2)",171,255,"Below you will find two options for getting a prize.
Option A - 25% to win $3000, 75% to win $0.
Option B - $4000 with a 20% chance, $0 with a 80% chance.
Given that these are the only options, which one would you choose?
Answer:","Below you will find two options for getting a prize.
Option A - $3000 for sure.
Option B - $4000 with a 80% chance, $0 with a 20% chance.
Given that these are the only options, which one would you choose?
Answer:",2,2,1,2,target,better_expected_value,-0.6151169538497925,-0.7377694845199585,Option A (first)
172,"(2, 2, 1, 1, 2, 1)",172,258,"Below you will find two options for getting a prize.
Option A - 20% to win $4000, 80% to win $0.
Option B - $3000 with a 25% chance, $0 with a 75% chance.
Given that these are the only options, which one would you choose?
Answer:","Below you will find two options for getting a prize.
Option A - 80% to win $4000, 20% to win $0.
Option B - $3000 with certainty.
Given that these are the only options, which one would you choose?
Answer:",2,2,1,1,target,better_expected_value,-0.36735281348228455,-0.6810669302940369,Option B (second)
173,"(2, 2, 1, 1, 2, 1)",174,260,"Below you will find two options for getting a prize.
Option A - 20% to win $4000, 80% to win $0.
Option B - 25% to win $3000, 75% to win $0.
Given that these are the only options, which one would you choose?
Answer:","Below you will find two options for getting a prize.
Option A - 80% to win $4000, 20% to win $0.
Option B - $3000 for sure.
Given that these are the only options, which one would you choose?
Answer:",2,2,1,1,target,better_expected_value,-0.3008892238140106,-0.30086708068847656,Option B (second)
179,"(2, 2, 2, 1, 1, 2)",179,267,"Below you will find two options for getting a prize.
Option A - 25% to win $3000, 75% to win $0.
Option B - $5000 with a 20% chance, $0 with a 80% chance.
Given that these are the only options, which one would you choose?
Answer:","Below you will find two options for getting a prize.
Option A - $3000 for sure.
Option B - $5000 with a 80% chance, $0 with a 20% chance.
Given that these are the only options, which one would you choose?
Answer:",2,2,2,2,target,better_expected_value,-0.5902524590492249,-0.8084858059883118,Option A (first)
180,"(2, 2, 2, 1, 2, 1)",180,270,"Below you will find two options for getting a prize.
Option A - 20% to win $5000, 80% to win $0.
Option B - $3000 with a 25% chance, $0 with a 75% chance.
Given that these are the only options, which one would you choose?
Answer:","Below you will find two options for getting a prize.
Option A - 80% to win $5000, 20% to win $0.
Option B - $3000 with certainty.
Given that these are the only options, which one would you choose?
Answer:",2,2,2,1,target,better_expected_value,-0.34908127784729004,-0.6868364214897156,Option B (second)
181,"(2, 2, 2, 1, 2, 1)",182,272,"Below you will find two options for getting a prize.
Option A - 20% to win $5000, 80% to win $0.
Option B - 25% to win $3000, 75% to win $0.
Given that these are the only options, which one would you choose?
Answer:","Below you will find two options for getting a prize.
Option A - 80% to win $5000, 20% to win $0.
Option B - $3000 for sure.
Given that these are the only options, which one would you choose?
Answer:",2,2,2,1,target,better_expected_value,-0.3488866984844208,-0.37679025530815125,Option B (second)
187,"(2, 2, 3, 1, 1, 2)",187,279,"Below you will find two options for getting a prize.
Option A - 25% to win $4000, 75% to win $0.
Option B - $6000 with a 20% chance, $0 with a 80% chance.
Given that these are the only options, which one would you choose?
Answer:","Below you will find two options for getting a prize.
Option A - $4000 for sure.
Option B - $6000 with a 80% chance, $0 with a 20% chance.
Given that these are the only options, which one would you choose?
Answer:",2,2,3,2,target,better_expected_value,-0.5536437034606934,-0.6497518420219421,Option A (first)
188,"(2, 2, 3, 1, 2, 1)",188,282,"Below you will find two options for getting a prize.
Option A - 20% to win $6000, 80% to win $0.
Option B - $4000 with a 25% chance, $0 with a 75% chance.
Given that these are the only options, which one would you choose?
Answer:","Below you will find two options for getting a prize.
Option A - 80% to win $6000, 20% to win $0.
Option B - $4000 with certainty.
Given that these are the only options, which one would you choose?
Answer:",2,2,3,1,target,better_expected_value,-0.5140206217765808,-0.6819512248039246,Option B (second)
189,"(2, 2, 3, 1, 2, 1)",190,284,"Below you will find two options for getting a prize.
Option A - 20% to win $6000, 80% to win $0.
Option B - 25% to win $4000, 75% to win $0.
Given that these are the only options, which one would you choose?
Answer:","Below you will find two options for getting a prize.
Option A - 80% to win $6000, 20% to win $0.
Option B - $4000 for sure.
Given that these are the only options, which one would you choose?
Answer:",2,2,3,1,target,better_expected_value,-0.44271060824394226,-0.35000166296958923,Option B (second)
195,"(2, 2, 4, 1, 1, 2)",195,291,"Below you will find two options for getting a prize.
Option A - 30% to win $4000, 70% to win $0.
Option B - $5000 with a 25% chance, $0 with a 75% chance.
Given that these are the only options, which one would you choose?
Answer:","Below you will find two options for getting a prize.
Option A - $4000 for sure.
Option B - $5000 with a 85% chance, $0 with a 15% chance.
Given that these are the only options, which one would you choose?
Answer:",2,2,4,2,target,better_expected_value,-0.4517858624458313,-0.9128589630126953,Option A (first)
196,"(2, 2, 4, 1, 2, 1)",196,294,"Below you will find two options for getting a prize.
Option A - 25% to win $5000, 75% to win $0.
Option B - $4000 with a 30% chance, $0 with a 70% chance.
Given that these are the only options, which one would you choose?
Answer:","Below you will find two options for getting a prize.
Option A - 85% to win $5000, 15% to win $0.
Option B - $4000 with certainty.
Given that these are the only options, which one would you choose?
Answer:",2,2,4,1,target,better_expected_value,-0.38604387640953064,-0.8887878656387329,Option B (second)
197,"(2, 2, 4, 1, 2, 1)",198,296,"Below you will find two options for getting a prize.
Option A - 25% to win $5000, 75% to win $0.
Option B - 30% to win $4000, 70% to win $0.
Given that these are the only options, which one would you choose?
Answer:","Below you will find two options for getting a prize.
Option A - 85% to win $5000, 15% to win $0.
Option B - $4000 for sure.
Given that these are the only options, which one would you choose?
Answer:",2,2,4,1,target,better_expected_value,-0.34401291608810425,-0.3584454655647278,Option B (second)
203,"(2, 2, 5, 1, 1, 2)",203,303,"Below you will find two options for getting a prize.
Option A - 35% to win $5000, 65% to win $0.
Option B - $6000 with a 30% chance, $0 with a 70% chance.
Given that these are the only options, which one would you choose?
Answer:","Below you will find two options for getting a prize.
Option A - $5000 for sure.
Option B - $6000 with a 85% chance, $0 with a 15% chance.
Given that these are the only options, which one would you choose?
Answer:",2,2,5,2,target,better_expected_value,-0.4493250846862793,-0.7186272740364075,Option A (first)
204,"(2, 2, 5, 1, 2, 1)",204,306,"Below you will find two options for getting a prize.
Option A - 30% to win $6000, 70% to win $0.
Option B - $5000 with a 35% chance, $0 with a 65% chance.
Given that these are the only options, which one would you choose?
Answer:","Below you will find two options for getting a prize.
Option A - 85% to win $6000, 15% to win $0.
Option B - $5000 with certainty.
Given that these are the only options, which one would you choose?
Answer:",2,2,5,1,target,better_expected_value,-0.3831700086593628,-0.7939847707748413,Option B (second)
205,"(2, 2, 5, 1, 2, 1)",206,308,"Below you will find two options for getting a prize.
Option A - 30% to win $6000, 70% to win $0.
Option B - 35% to win $5000, 65% to win $0.
Given that these are the only options, which one would you choose?
Answer:","Below you will find two options for getting a prize.
Option A - 85% to win $6000, 15% to win $0.
Option B - $5000 for sure.
Given that these are the only options, which one would you choose?
Answer:",2,2,5,1,target,better_expected_value,-0.2811729609966278,-0.3932754099369049,Option B (second)
211,"(2, 2, 6, 1, 1, 2)",211,315,"Below you will find two options for getting a prize.
Option A - 25% to win $2000, 75% to win $0.
Option B - $3000 with a 20% chance, $0 with a 80% chance.
Given that these are the only options, which one would you choose?
Answer:","Below you will find two options for getting a prize.
Option A - $2000 for sure.
Option B - $3000 with a 70% chance, $0 with a 30% chance.
Given that these are the only options, which one would you choose?
Answer:",2,2,6,2,target,better_expected_value,-0.37437862157821655,-0.6656611561775208,Option A (first)
212,"(2, 2, 6, 1, 2, 1)",212,318,"Below you will find two options for getting a prize.
Option A - 20% to win $3000, 80% to win $0.
Option B - $2000 with a 25% chance, $0 with a 75% chance.
Given that these are the only options, which one would you choose?
Answer:","Below you will find two options for getting a prize.
Option A - 70% to win $3000, 30% to win $0.
Option B - $2000 with certainty.
Given that these are the only options, which one would you choose?
Answer:",2,2,6,1,target,better_expected_value,-0.3000307083129883,-0.7783128619194031,Option B (second)
213,"(2, 2, 6, 1, 2, 1)",214,320,"Below you will find two options for getting a prize.
Option A - 20% to win $3000, 80% to win $0.
Option B - 25% to win $2000, 75% to win $0.
Given that these are the only options, which one would you choose?
Answer:","Below you will find two options for getting a prize.
Option A - 70% to win $3000, 30% to win $0.
Option B - $2000 for sure.
Given that these are the only options, which one would you choose?
Answer:",2,2,6,1,target,better_expected_value,-0.24827039241790771,-0.40103328227996826,Option B (second)
220,"(2, 2, 7, 1, 2, 1)",220,330,"Below you will find two options for getting a prize.
Option A - 15% to win $2000, 85% to win $0.
Option B - $1000 with a 20% chance, $0 with a 80% chance.
Given that these are the only options, which one would you choose?
Answer:","Below you will find two options for getting a prize.
Option A - 60% to win $2000, 40% to win $0.
Option B - $1000 with certainty.
Given that these are the only options, which one would you choose?
Answer:",2,2,7,1,target,better_expected_value,-0.31355810165405273,-0.7422600388526917,Option B (second)
221,"(2, 2, 7, 1, 2, 1)",222,332,"Below you will find two options for getting a prize.
Option A - 15% to win $2000, 85% to win $0.
Option B - 20% to win $1000, 80% to win $0.
Given that these are the only options, which one would you choose?
Answer:","Below you will find two options for getting a prize.
Option A - 60% to win $2000, 40% to win $0.
Option B - $1000 for sure.
Given that these are the only options, which one would you choose?
Answer:",2,2,7,1,target,better_expected_value,-0.2441476285457611,-0.3523596525192261,Option B (second)
231,"(3, 1, 1, 1, 2, 2)",231,345,"Which of the following would you prefer?
Option A - 34% to win $2400, 66% to win $0.
Option B - 33% to win $2500, 67% to win $0.
Answer:","Which of the following would you prefer?
Option A - $2400 for sure.
Option B - 33% to win $2500, 66% to win $2400, 1% to win $0.
Answer:",3,1,1,2,target,better_expected_value,-0.0658067911863327,-0.3923795223236084,Option A (first)
239,"(3, 1, 2, 1, 2, 2)",239,357,"Which of the following would you prefer?
Option A - 35% to win $2500, 65% to win $0.
Option B - 34% to win $3000, 66% to win $0.
Answer:","Which of the following would you prefer?
Option A - $2500 for sure.
Option B - 34% to win $3000, 65% to win $2500, 1% to win $0.
Answer:",3,1,2,2,target,better_expected_value,-0.49916306138038635,-0.5253763794898987,Option A (first)
243,"(3, 1, 3, 1, 1, 2)",243,363,"Which of the following would you prefer?
Option A - 36% to win $2600, 64% to win $0.
Option B - $3500 with a 35% chance, $0 with a 65% chance.
Answer:","Which of the following would you prefer?
Option A - $2600 for sure.
Option B - $3500 with a 35% chance, $2600 with a 64% chance, $0 with a 1% chance.
Answer:",3,1,3,2,target,better_expected_value,-0.030516156926751137,-0.7285224795341492,Option A (first)
248,"(3, 1, 4, 1, 1, 1)",248,372,"Which of the following would you prefer?
Option A - $1000 with a 20% chance, $0 with a 80% chance.
Option B - $800 with a 21% chance, $0 with a 79% chance.
Answer:","Which of the following would you prefer?
Option A - $1000 with a 20% chance, $800 with a 79% chance, $0 with a 1% chance.
Option B - $800 with certainty.
Answer:",3,1,4,1,target,better_expected_value,-0.5504828095436096,-0.1868719756603241,Option B (second)
251,"(3, 1, 4, 1, 1, 2)",251,375,"Which of the following would you prefer?
Option A - 21% to win $800, 79% to win $0.
Option B - $1000 with a 20% chance, $0 with a 80% chance.
Answer:","Which of the following would you prefer?
Option A - $800 for sure.
Option B - $1000 with a 20% chance, $800 with a 79% chance, $0 with a 1% chance.
Answer:",3,1,4,2,target,better_expected_value,-0.05282463878393173,-0.5690674781799316,Option A (first)
252,"(3, 1, 4, 1, 2, 1)",252,378,"Which of the following would you prefer?
Option A - 20% to win $1000, 80% to win $0.
Option B - $800 with a 21% chance, $0 with a 79% chance.
Answer:","Which of the following would you prefer?
Option A - 20% to win $1000, 79% to win $800, 1% to win $0.
Option B - $800 with certainty.
Answer:",3,1,4,1,target,better_expected_value,-0.5161202549934387,-0.3946027159690857,Option B (second)
253,"(3, 1, 4, 1, 2, 1)",254,380,"Which of the following would you prefer?
Option A - 20% to win $1000, 80% to win $0.
Option B - 21% to win $800, 79% to win $0.
Answer:","Which of the following would you prefer?
Option A - 20% to win $1000, 79% to win $800, 1% to win $0.
Option B - $800 for sure.
Answer:",3,1,4,1,target,better_expected_value,-0.6718047261238098,-0.25087472796440125,Option B (second)
255,"(3, 1, 4, 1, 2, 2)",255,381,"Which of the following would you prefer?
Option A - 21% to win $800, 79% to win $0.
Option B - 20% to win $1000, 80% to win $0.
Answer:","Which of the following would you prefer?
Option A - $800 for sure.
Option B - 20% to win $1000, 79% to win $800, 1% to win $0.
Answer:",3,1,4,2,target,better_expected_value,-0.15137630701065063,-0.5051554441452026,Option A (first)
256,"(3, 1, 5, 1, 1, 1)",256,384,"Which of the following would you prefer?
Option A - $1000 with a 25% chance, $0 with a 75% chance.
Option B - $850 with a 26% chance, $0 with a 74% chance.
Answer:","Which of the following would you prefer?
Option A - $1000 with a 25% chance, $850 with a 74% chance, $0 with a 1% chance.
Option B - $850 with certainty.
Answer:",3,1,5,1,target,better_expected_value,-0.4956597685813904,-0.23235374689102173,Option B (second)
258,"(3, 1, 5, 1, 1, 2)",257,385,"Which of the following would you prefer?
Option A - $850 with a 26% chance, $0 with a 74% chance.
Option B - $1000 with a 25% chance, $0 with a 75% chance.
Answer:","Which of the following would you prefer?
Option A - $850 with certainty.
Option B - $1000 with a 25% chance, $850 with a 74% chance, $0 with a 1% chance.
Answer:",3,1,5,2,target,better_expected_value,-0.09833645820617676,-0.6956109404563904,Option A (first)
259,"(3, 1, 5, 1, 1, 2)",259,387,"Which of the following would you prefer?
Option A - 26% to win $850, 74% to win $0.
Option B - $1000 with a 25% chance, $0 with a 75% chance.
Answer:","Which of the following would you prefer?
Option A - $850 for sure.
Option B - $1000 with a 25% chance, $850 with a 74% chance, $0 with a 1% chance.
Answer:",3,1,5,2,target,better_expected_value,-0.08120068162679672,-0.7486781477928162,Option A (first)
260,"(3, 1, 5, 1, 2, 1)",260,390,"Which of the following would you prefer?
Option A - 25% to win $1000, 75% to win $0.
Option B - $850 with a 26% chance, $0 with a 74% chance.
Answer:","Which of the following would you prefer?
Option A - 25% to win $1000, 74% to win $850, 1% to win $0.
Option B - $850 with certainty.
Answer:",3,1,5,1,target,better_expected_value,-0.6888900399208069,-0.5953350067138672,Option B (second)
263,"(3, 1, 5, 1, 2, 2)",263,393,"Which of the following would you prefer?
Option A - 26% to win $850, 74% to win $0.
Option B - 25% to win $1000, 75% to win $0.
Answer:","Which of the following would you prefer?
Option A - $850 for sure.
Option B - 25% to win $1000, 74% to win $850, 1% to win $0.
Answer:",3,1,5,2,target,better_expected_value,-0.1520262211561203,-0.43077588081359863,Option A (first)
267,"(3, 1, 6, 1, 1, 2)",267,399,"Which of the following would you prefer?
Option A - 26% to win $1300, 74% to win $0.
Option B - $1500 with a 25% chance, $0 with a 75% chance.
Answer:","Which of the following would you prefer?
Option A - $1300 for sure.
Option B - $1500 with a 25% chance, $1300 with a 74% chance, $0 with a 1% chance.
Answer:",3,1,6,2,target,better_expected_value,-0.04121612757444382,-0.6540583968162537,Option A (first)
271,"(3, 1, 6, 1, 2, 2)",271,405,"Which of the following would you prefer?
Option A - 26% to win $1300, 74% to win $0.
Option B - 25% to win $1500, 75% to win $0.
Answer:","Which of the following would you prefer?
Option A - $1300 for sure.
Option B - 25% to win $1500, 74% to win $1300, 1% to win $0.
Answer:",3,1,6,2,target,better_expected_value,-0.19247518479824066,-0.22722969949245453,Option A (first)
275,"(3, 1, 7, 1, 1, 2)",275,411,"Which of the following would you prefer?
Option A - 26% to win $4800, 74% to win $0.
Option B - $5000 with a 25% chance, $0 with a 75% chance.
Answer:","Which of the following would you prefer?
Option A - $4800 for sure.
Option B - $5000 with a 25% chance, $4800 with a 74% chance, $0 with a 1% chance.
Answer:",3,1,7,2,target,better_expected_value,-0.03013729304075241,-0.6051941514015198,Option A (first)
276,"(3, 1, 7, 1, 2, 1)",276,414,"Which of the following would you prefer?
Option A - 25% to win $5000, 75% to win $0.
Option B - $4800 with a 26% chance, $0 with a 74% chance.
Answer:","Which of the following would you prefer?
Option A - 25% to win $5000, 74% to win $4800, 1% to win $0.
Option B - $4800 with certainty.
Answer:",3,1,7,1,target,better_expected_value,-0.6281809210777283,-0.6968831419944763,Option B (second)
277,"(3, 1, 7, 1, 2, 1)",278,416,"Which of the following would you prefer?
Option A - 25% to win $5000, 75% to win $0.
Option B - 26% to win $4800, 74% to win $0.
Answer:","Which of the following would you prefer?
Option A - 25% to win $5000, 74% to win $4800, 1% to win $0.
Option B - $4800 for sure.
Answer:",3,1,7,1,target,better_expected_value,-0.6279612183570862,-0.4929402768611908,Option B (second)
279,"(3, 1, 7, 1, 2, 2)",279,417,"Which of the following would you prefer?
Option A - 26% to win $4800, 74% to win $0.
Option B - 25% to win $5000, 75% to win $0.
Answer:","Which of the following would you prefer?
Option A - $4800 for sure.
Option B - 25% to win $5000, 74% to win $4800, 1% to win $0.
Answer:",3,1,7,2,target,better_expected_value,-0.16822697222232819,-0.25612786412239075,Option A (first)
283,"(3, 2, 1, 1, 1, 2)",283,423,"Which of the following would you prefer?
Option A - 25% to win $3000, 75% to win $0.
Option B - $4000 with a 20% chance, $0 with a 80% chance.
Answer:","Which of the following would you prefer?
Option A - $3000 for sure.
Option B - $4000 with a 80% chance, $0 with a 20% chance.
Answer:",3,2,1,2,target,better_expected_value,-0.13796387612819672,-0.4539318382740021,Option A (first)
291,"(3, 2, 2, 1, 1, 2)",291,435,"Which of the following would you prefer?
Option A - 25% to win $3000, 75% to win $0.
Option B - $5000 with a 20% chance, $0 with a 80% chance.
Answer:","Which of the following would you prefer?
Option A - $3000 for sure.
Option B - $5000 with a 80% chance, $0 with a 20% chance.
Answer:",3,2,2,2,target,better_expected_value,-0.09360948204994202,-0.4783388674259186,Option A (first)
295,"(3, 2, 2, 1, 2, 2)",295,441,"Which of the following would you prefer?
Option A - 25% to win $3000, 75% to win $0.
Option B - 20% to win $5000, 80% to win $0.
Answer:","Which of the following would you prefer?
Option A - $3000 for sure.
Option B - 80% to win $5000, 20% to win $0.
Answer:",3,2,2,2,target,better_expected_value,-0.7570182085037231,-0.5508445501327515,Option A (first)
299,"(3, 2, 3, 1, 1, 2)",299,447,"Which of the following would you prefer?
Option A - 25% to win $4000, 75% to win $0.
Option B - $6000 with a 20% chance, $0 with a 80% chance.
Answer:","Which of the following would you prefer?
Option A - $4000 for sure.
Option B - $6000 with a 80% chance, $0 with a 20% chance.
Answer:",3,2,3,2,target,better_expected_value,-0.09871141612529755,-0.3091545104980469,Option A (first)
307,"(3, 2, 4, 1, 1, 2)",307,459,"Which of the following would you prefer?
Option A - 30% to win $4000, 70% to win $0.
Option B - $5000 with a 25% chance, $0 with a 75% chance.
Answer:","Which of the following would you prefer?
Option A - $4000 for sure.
Option B - $5000 with a 85% chance, $0 with a 15% chance.
Answer:",3,2,4,2,target,better_expected_value,-0.25927412509918213,-0.49008792638778687,Option A (first)
312,"(3, 2, 5, 1, 1, 1)",312,468,"Which of the following would you prefer?
Option A - $6000 with a 30% chance, $0 with a 70% chance.
Option B - $5000 with a 35% chance, $0 with a 65% chance.
Answer:","Which of the following would you prefer?
Option A - $6000 with a 85% chance, $0 with a 15% chance.
Option B - $5000 with certainty.
Answer:",3,2,5,1,target,better_expected_value,-0.5810443162918091,-0.5681986808776855,Option B (second)
315,"(3, 2, 5, 1, 1, 2)",315,471,"Which of the following would you prefer?
Option A - 35% to win $5000, 65% to win $0.
Option B - $6000 with a 30% chance, $0 with a 70% chance.
Answer:","Which of the following would you prefer?
Option A - $5000 for sure.
Option B - $6000 with a 85% chance, $0 with a 15% chance.
Answer:",3,2,5,2,target,better_expected_value,-0.21684466302394867,-0.46072423458099365,Option A (first)
320,"(3, 2, 6, 1, 1, 1)",320,480,"Which of the following would you prefer?
Option A - $3000 with a 20% chance, $0 with a 80% chance.
Option B - $2000 with a 25% chance, $0 with a 75% chance.
Answer:","Which of the following would you prefer?
Option A - $3000 with a 70% chance, $0 with a 30% chance.
Option B - $2000 with certainty.
Answer:",3,2,6,1,target,better_expected_value,-0.4210851788520813,-0.7389980554580688,Option B (second)
323,"(3, 2, 6, 1, 1, 2)",323,483,"Which of the following would you prefer?
Option A - 25% to win $2000, 75% to win $0.
Option B - $3000 with a 20% chance, $0 with a 80% chance.
Answer:","Which of the following would you prefer?
Option A - $2000 for sure.
Option B - $3000 with a 70% chance, $0 with a 30% chance.
Answer:",3,2,6,2,target,better_expected_value,-0.09173045307397842,-0.44389012455940247,Option A (first)
324,"(3, 2, 6, 1, 2, 1)",324,486,"Which of the following would you prefer?
Option A - 20% to win $3000, 80% to win $0.
Option B - $2000 with a 25% chance, $0 with a 75% chance.
Answer:","Which of the following would you prefer?
Option A - 70% to win $3000, 30% to win $0.
Option B - $2000 with certainty.
Answer:",3,2,6,1,target,better_expected_value,-0.567919909954071,-0.7074803113937378,Option B (second)
327,"(3, 2, 6, 1, 2, 2)",327,489,"Which of the following would you prefer?
Option A - 25% to win $2000, 75% to win $0.
Option B - 20% to win $3000, 80% to win $0.
Answer:","Which of the following would you prefer?
Option A - $2000 for sure.
Option B - 70% to win $3000, 30% to win $0.
Answer:",3,2,6,2,target,better_expected_value,-0.6009042263031006,-0.30735743045806885,Option A (first)
328,"(3, 2, 7, 1, 1, 1)",328,492,"Which of the following would you prefer?
Option A - $2000 with a 15% chance, $0 with a 85% chance.
Option B - $1000 with a 20% chance, $0 with a 80% chance.
Answer:","Which of the following would you prefer?
Option A - $2000 with a 60% chance, $0 with a 40% chance.
Option B - $1000 with certainty.
Answer:",3,2,7,1,target,better_expected_value,-0.4423896074295044,-0.5729659199714661,Option B (second)
333,"(3, 2, 7, 1, 2, 1)",334,500,"Which of the following would you prefer?
Option A - 15% to win $2000, 85% to win $0.
Option B - 20% to win $1000, 80% to win $0.
Answer:","Which of the following would you prefer?
Option A - 60% to win $2000, 40% to win $0.
Option B - $1000 for sure.
Answer:",3,2,7,1,target,better_expected_value,-0.3982783555984497,-0.504974901676178,Option B (second)
